"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"James A. Graham Elementary","Newark Unified","36270 Cherry St.","Newark","CA","94560","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","412","15.00","27.47","No","276","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/175","062706004081","Suburban, Large","","","","","","412","","104","116","128","102","102","148","124","","","","","","","","0","","50","570","14","128","2","22","38","6.07","69.17","1.70","15.53","0.24","2.67","4.61","","",""
"John F. Kennedy Elementary","Newark Unified","35430 Blackburn Dr.","Newark","CA","94560","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","390","11.50","33.91","No","113","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/176","062706004082","Suburban, Large","","","","","","390","","116","116","120","112","96","96","124","","","","","","","","0","","164","320","20","176","","12","88","21.03","41.03","2.56","22.56","","1.54","11.28","","",""
"Lincoln Elementary","Newark Unified","36111 BettenCt. St.","Newark","CA","94560","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","388","14.50","26.76","No","207","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/177","062706004083","Suburban, Large","","","","","","388","","136","100","104","110","92","110","124","","","","","","","","0","","146","402","24","114","4","26","60","18.81","51.80","3.09","14.69","0.52","3.35","7.73","","",""
"August Schilling Elementary","Newark Unified","36901 Spruce St.","Newark","CA","94560","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","413","17.00","24.29","No","312","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/182","062706004090","Suburban, Large","","","","","","413","","164","90","98","84","124","128","138","","","","","","","","0","","38","620","26","104","","6","32","4.60","75.06","3.15","12.59","","0.73","3.87","","",""
"Newark Junior High","Newark Unified","6201 Lafayette Ave.","Newark","CA","94560","Regular School","Open","Middle","Alameda County","7, 8","876","28.87","30.34","No","483","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/181","062706007796","Suburban, Large","","","","","","876","","","","","","","","","892","860","","","","","","0","","202","1012","54","384","4","40","56","11.53","57.76","3.08","21.92","0.23","2.28","3.20","","",""
"Whiteford (June) Special Education Preschool","Newark Unified","35725 Cedar Blvd.","Newark","CA","94560","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","062706013459","Suburban, Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Allendale Elementary","Oakland Unified","3670 Penniman Ave.","Oakland","CA","94619","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","361","17.00","21.24","Yes under Community Eligibility Option (CEO)","297","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/184","062805004238","City, Large","","","","","","361","","148","124","128","134","104","84","","","","","","","","","0","","30","326","210","118","4","8","26","4.16","45.15","29.09","16.34","0.55","1.11","3.60","","",""
"Bella Vista Elementary","Oakland Unified","1025 E. 28th St.","Oakland","CA","94610","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","447","19.00","23.53","Yes under Community Eligibility Option (CEO)","354","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/186","062805004241","City, Large","","","","","","447","","224","132","140","120","116","162","","","","","","","","","0","","40","186","168","448","4","6","42","4.47","20.81","18.79","50.11","0.45","0.67","4.70","","",""
"Bret Harte Middle","Oakland Unified","3700 Coolidge Ave.","Oakland","CA","94602","Regular School","Open","Middle","Alameda County","6, 7, 8, 9","591","38.96","15.17","Yes under Community Eligibility Option (CEO)","509","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/213","062805004242","City, Large","","","","","","591","","","","","","","","392","348","340","102","","","","","0","","80","394","396","198","8","28","78","6.77","33.33","33.50","16.75","0.68","2.37","6.60","","",""
"Burckhalter Elementary","Oakland Unified","3994 Burckhalter Ave.","Oakland","CA","94605","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","248","10.50","23.62","Yes under Community Eligibility Option (CEO)","214","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/191","062805004245","City, Large","","","","","","248","","84","84","86","94","78","70","","","","","","","","","0","","10","72","356","14","2","18","24","2.02","14.52","71.77","2.82","0.40","3.63","4.84","","",""
"Howard Elementary","Oakland Unified","8755 Fontaine St.","Oakland","CA","94605","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","214","11.00","19.45","Yes under Community Eligibility Option (CEO)","190","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/219","062805004249","City, Large","","","","","","214","","74","86","74","78","50","66","","","","","","","","","0","","22","96","250","24","2","6","28","5.14","22.43","58.41","5.61","0.47","1.40","6.54","","",""
"Crocker Highlands Elementary","Oakland Unified","525 Midcrest Rd.","Oakland","CA","94610","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","473","20.00","23.65","No","38","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/199","062805004253","City, Large","","","","","","473","","180","148","142","150","174","152","","","","","","","","","0","","574","80","76","90","","","126","60.68","8.46","8.03","9.51","","","13.32","","",""
"Franklin Elementary","Oakland Unified","915 Foothill Blvd.","Oakland","CA","94606","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","702","27.50","25.53","Yes under Community Eligibility Option (CEO)","637","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/205","062805004261","City, Large","","","","","","702","","280","224","210","266","190","234","","","","","","","","","0","","28","268","182","854","4","10","58","1.99","19.09","12.96","60.83","0.28","0.71","4.13","","",""
"Frick Middle","Oakland Unified","2845 64th Ave.","Oakland","CA","94605","Regular School","Open","Middle","Alameda County","6, 7, 8","227","15.35","14.79","Yes under Community Eligibility Option (CEO)","212","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/207","062805004263","City, Large","","","","","","227","","","","","","","","132","178","144","","","","","","0","","4","228","194","6","","8","14","0.88","50.22","42.73","1.32","","1.76","3.08","","",""
"Fruitvale Elementary","Oakland Unified","3200 Boston Ave.","Oakland","CA","94602","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","367","17.00","21.59","Yes under Community Eligibility Option (CEO)","317","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/208","062805004264","City, Large","","","","","","367","","126","122","108","138","112","128","","","","","","","","","0","","30","330","186","112","14","10","52","4.09","44.96","25.34","15.26","1.91","1.36","7.08","","",""
"Garfield Elementary","Oakland Unified","1640 22nd Ave.","Oakland","CA","94606","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","654","25.00","26.16","Yes under Community Eligibility Option (CEO)","606","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/209","062805004265","City, Large","","","","","","654","","302","202","218","210","194","182","","","","","","","","","0","","26","606","216","384","4","16","56","1.99","46.33","16.51","29.36","0.31","1.22","4.28","","",""
"Glenview Elementary","Oakland Unified","4215 La Cresta Ave.","Oakland","CA","94602","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","455","19.16","23.75","No","163","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/210","062805004266","City, Large","","","","","","455","","202","138","146","142","140","142","","","","","","","","","0","","358","136","186","96","","","134","39.34","14.95","20.44","10.55","","","14.73","","",""
"Grass Valley Elementary","Oakland Unified","4720 Dunkirk Ave.","Oakland","CA","94605","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","260","11.00","23.64","Yes under Community Eligibility Option (CEO)","193","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/212","062805004269","City, Large","","","","","","260","","98","86","106","98","70","62","","","","","","","","","0","","16","98","350","20","","12","24","3.08","18.85","67.31","3.85","","2.31","4.62","","",""
"New Highland Academy","Oakland Unified","8521 A St.","Oakland","CA","94621","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","351","13.00","27.00","Yes under Community Eligibility Option (CEO)","342","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/216","062805004274","City, Large","","","","","","351","","134","102","128","114","124","100","","","","","","","","","0","","","580","94","10","","8","10","","82.62","13.39","1.42","","1.14","1.42","","",""
"Hillcrest Elementary","Oakland Unified","30 Marguerite Dr.","Oakland","CA","94618","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","387","15.80","24.49","No","28","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/217","062805004275","City, Large","","","","","","387","","100","94","96","94","102","96","64","64","64","","","","","","0","","448","56","56","116","","","98","57.88","7.24","7.24","14.99","","","12.66","","",""
"Hoover Elementary","Oakland Unified","890 Brockhurst St.","Oakland","CA","94608","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","278","10.50","26.48","Yes under Community Eligibility Option (CEO)","265","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/218","062805004276","City, Large","","","","","","278","","100","104","104","82","82","84","","","","","","","","","0","","44","236","226","20","2","2","26","7.91","42.45","40.65","3.60","0.36","0.36","4.68","","",""
"Horace Mann Elementary","Oakland Unified","5222 Ygnacio Ave.","Oakland","CA","94601","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","345","14.00","24.64","Yes under Community Eligibility Option (CEO)","325","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/235","062805004277","City, Large","","","","","","345","","134","124","108","108","102","114","","","","","","","","","0","","14","330","206","60","4","40","36","2.03","47.83","29.86","8.70","0.58","5.80","5.22","","",""
"Madison Park Academy 6-12","Oakland Unified","400 Capistrano Dr.","Oakland","CA","94603","Regular School","Open","High","Alameda County","6, 7, 8, 9, 10, 11, 12","772","43.68","17.67","Yes under Community Eligibility Option (CEO)","724","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/234","062805004278","City, Large","","","","","","772","","","","","","","","254","236","242","216","236","208","152","","0","","14","1264","206","24","2","16","18","0.91","81.87","13.34","1.55","0.13","1.04","1.17","Not all female high school","Majority minority high school","Not inner city high school"
"Joaquin Miller Elementary","Oakland Unified","5525 Ascot Dr.","Oakland","CA","94611","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","435","19.00","22.89","Yes under Community Eligibility Option (CEO)","138","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/242","062805004280","City, Large","","","","","","435","","148","142","134","156","154","136","","","","","","","","","0","","344","140","152","128","2","6","98","39.54","16.09","17.47","14.71","0.23","0.69","11.26","","",""
"La Escuelita Elementary","Oakland Unified","1100 Third Ave.","Oakland","CA","94606","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","417","17.33","24.06","Yes under Community Eligibility Option (CEO)","378","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/224","062805004284","City, Large","","","","","","417","","154","110","126","80","100","82","86","52","44","","","","","","0","","26","468","118","198","2","2","20","3.12","56.12","14.15","23.74","0.24","0.24","2.40","","",""
