"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"Frank Otis Elementary","Alameda Unified","3010 Fillmore St.","Alameda","CA","94501","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","644","26.00","24.77","No","111","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/14","060177000054","Suburban, Large","","","","","","644","","240","252","200","204","196","196","","","","","","","","","0","","496","184","50","306","4","","248","38.51","14.29","3.88","23.76","0.31","","19.25","","",""
"Franklin Elementary","Alameda Unified","1433 San Antonio Ave.","Alameda","CA","94501","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","345","13.00","26.54","No","73","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/7","060177004337","Suburban, Large","","","","","","345","","98","98","150","100","126","118","","","","","","","","","0","","346","124","12","118","","","90","50.14","17.97","1.74","17.10","","","13.04","","",""
"Alameda Community Learning Center","Alameda Unified","1900 Third St.","Alameda","CA","94501","Regular School","Open","High","Alameda County","6, 7, 8, 9, 10, 11, 12","368","14.03","26.23","No","117","Unknown","","","http://www.greatschools.net/modperl/browse_school/CA/1902","060177008673","Suburban, Large","","Charter school","","","","368","","","","","","","","120","116","118","118","100","76","88","","0","","284","114","64","174","","","100","38.59","15.49","8.70","23.64","","","13.59","Not all female high school","Majority minority high school","Not inner city high school"
"Alternatives in Action","Alameda Unified","6221 E. 17th St","Oakland","CA","94621","Regular School","Open","High","Alameda County","9, 10, 11, 12","183","8.40","21.79","No","180","Unknown","","","http://www.greatschools.net/modperl/browse_school/CA/1903","060177008674","City, Large","","Charter school","","","","183","","","","","","","","","","","76","118","104","68","","0","","6","264","22","","2","","72","1.64","72.13","6.01","","0.55","","19.67","Not all female high school","Majority minority high school","Inner city high school"
"Ruby Bridges Elementary","Alameda Unified","351 Jack London Ave.","Alameda","CA","94501","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","504","20.00","25.20","No","337","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/6978","060177011549","Suburban, Large","","","","","","504","","202","136","166","142","166","196","","","","","","","","","0","","180","212","172","292","6","26","120","17.86","21.03","17.06","28.97","0.60","2.58","11.90","","",""
"Nea Community Learning Center","Alameda Unified","1900 Third St.","Alameda","CA","94501","Regular School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","553","24.10","22.95","No","167","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/5151","060177012399","Suburban, Large","","Charter school","","","","553","","96","96","96","104","104","104","78","52","106","102","66","42","60","","0","","330","216","186","154","6","","214","29.84","19.53","16.82","13.92","0.54","","19.35","","",""
"Maya Lin","Alameda Unified","825 Taylor St.","Alameda","CA","94501","Alternative School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","415","17.00","24.41","No","96","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/6955","060177013107","Suburban, Large","Magnet school","","","","","415","","158","158","156","138","102","118","","","","","","","","","0","","368","120","48","160","2","","132","44.34","14.46","5.78","19.28","0.24","","15.90","","",""
"The Academy of Alameda Elementary","Alameda Unified","401 Pacific Ave.","Alameda","CA","94501","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","203","8.00","25.38","No","43","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/2002","060177013871","Suburban, Large","","Charter school","","","","203","","98","98","106","104","0","0","","","","","","","","","0","","94","94","44","104","0","2","68","23.15","23.15","10.84","25.62","0.00","0.49","16.75","","",""
"Albany High","Albany City Unified","603 Key Route Blvd.","Albany","CA","94706","Regular School","Open","High","Alameda County","9, 10, 11, 12","1129","56.47","19.99","No","232","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/19","060186000059","Suburban, Large","","","","","","1129","","","","","","","","","","","596","538","586","538","","0","","812","374","82","712","2","8","268","35.96","16.56","3.63","31.53","0.09","0.35","11.87","Not all female high school","Majority minority high school","Not inner city high school"
"Albany Middle","Albany City Unified","1259 Brighton Ave.","Albany","CA","94706","Regular School","Open","Middle","Alameda County","6, 7, 8","880","45.96","19.15","No","166","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/20","060186000060","Suburban, Large","","","","","","880","","","","","","","","520","584","656","","","","","","0","","634","336","42","452","","6","290","36.02","19.09","2.39","25.68","","0.34","16.48","","",""
