X,Y,Site,Address,City,State,Type,API,Org
583885.347746428,4162022.83392936,Tom Kitayama Elementary,1959 Sunsprite Dr,Union City,CA,ES,"840",Public
581187.958037309,4160926.24726638,Alvarado Middle,31604 Alvarado Bl,Union City,CA,MS,"826",Public
584094.926136292,4160772.60971062,Cesar Chavez Middle,2801 Hop Ranch Rd,Union City,CA,MS,"749",Public
585991.507453678,4161045.52715385,James Logan High,1800 H St,Union City,CA,HS,"731",Public
585716.919080509,4163567.18549511,Alternative Learning Academy at Conley-C,541 Blanche St,Union City,CA,Small Schools,"0",Public
585707.215667794,4163557.22733956,Core Learning Academy at Conley-Caraball,541 Blanche St,Union City,CA,ASAM,"0",Public
586060.401531676,4160604.17669352,New Haven Community Day,34200 Alvarado-Niles Rd.,Union City,CA,6 to 12,"0",Public
584273.460820555,4153900.02493088,August Schilling Elementary,36901 Spruce St,Newark,CA,ES,"717",Public
585533.534399336,4155478.57322523,E. L. Musick Elementary,5735 Musick Avenue,Newark,CA,ES,"756",Public
583887.595061191,4155515.67228981,H. A. Snow Elementary,6580 Mirabeau Dr,Newark,CA,ES,"792",Public
584609.865640094,4155047.01030766,James A. Graham Elementary,36270 Cherry Street,Newark,CA,ES,"746",Public
587017.676984919,4154049.05179596,James L. Bunker Elementary,6071 Smith St,Newark,CA,ES,"843",Public
584580.592580922,4156516.58752848,John F. Kennedy Elementary,35430 Blackburn Dr,Newark,CA,ES,"794",Public
583753.217454997,4154736.97119028,Lincoln Elementary,36111 Bettencourt Street,Newark,CA,ES,"798",Public
586370.967015842,4154566.19298278,Louis Milani Elementary,37490 Birch Street,Newark,CA,ES,"771",Public
585078.29124257,4155550.73456561,Newark Junior High,6201 Lafayette Avenue,Newark,CA,MS,"756",Public
588209.481854955,4153251.33224718,Newark Memorial High,39375 Cedar Blvd.,Newark,CA,HS,"723",Public
585542.95360998,4155489.64743687,Crossroads High (Alternative),5715 Musick Avenue,Newark,CA,Small Schools,"0",Public
584877.505353165,4156382.90786899,Bridgepoint High (Continuation),35753 Cedar Boulevard,Newark,CA,ASAM,"0",Public
584906.883759611,4156384.206864,New Beginnings Academy,35777 Cedar Boulevard,Newark,CA,ASAM,"0",Public
584906.883759611,4156384.206864,Progressive Academy,35777 Cedar Boulevard,Newark,CA,ASAM,"0",Public
589038.659002265,4153233.23103642,FAME Public Charter,"39899 Balentine Dr., Ste. 335",Newark,CA,K-12,"0",Public
568039.609666624,4181944.46776141,Achieve Academy,1700 28th Avenue,Oakland,CA,ES,"788",Public
571696.59186328,4178714.43070937,ACORN Woodland Elementary,1025 81st Avenue,Oakland,CA,ES,"782",Public
569992.029505832,4182668.32553893,Allendale Elementary,3670 Penniman Avenue,Oakland,CA,ES,"744",Public
568538.310294918,4181022.57896022,ASCEND,3709 East 12th Street,Oakland,CA,ES,"742",Public
567130.673733279,4183951.7061771,Bella Vista Elementary,1025 East 28th Street,Oakland,CA,ES,"811",Public
562989.431235247,4188839.43477485,Berkley Maynard Academy,6200 San Pablo Avenue,Emeryville,CA,ES,"817",Public
569874.694786885,4180350.26340393,Bridges Academy,1325 53rd Avenue,Oakland,CA,ES,"730",Public
571451.810180241,4176698.59706211,Brookfield Elementary,401 Jones Avenue,Oakland,CA,ES,"707",Public
573379.992612149,4181232.93074243,Burckhalter Elementary,3994 Burckhalter Avenue,Oakland,CA,ES,"790",Public
572710.180233342,4183354.47937908,Carl B. Munck Elementary,11900 Campus Drive,Oakland,CA,ES,"798",Public
566564.123360001,4189479.3169114,Chabot Elementary,6686 Chabot Road,Oakland,CA,ES,"932",Public
566548.515546392,4184368.07895503,Cleveland Elementary,745 Cleveland Street,Oakland,CA,ES,"886",Public
571176.739114102,4179643.93695162,Community United Elementary,6701 International Boulevard,Oakland,CA,ES,"577",Public
567975.738517479,4185170.06287395,Crocker Highlands Elementary,525 Midcrest Road,Oakland,CA,ES,"898",Public
562992.146152026,4189103.89034495,East Bay Conservation Corps Charter,1086 Alcatraz Avenue,Oakland,CA,ES,"757",Public
572726.00999463,4179408.99109348,East Oakland Pride Elementary,8000 Birch Street,Oakland,CA,ES,"657",Public
573850.698424891,4178025.95064805,Education for Change at Cox Elementary,9860 Sunnyside Street,Oakland,CA,ES,"665",Public
565344.483404163,4187729.23205154,Emerson Elementary,4803 Lawton Avenue,Oakland,CA,ES,"725",Public
571696.59186328,4178714.43070937,EnCompass Academy Elementary,1025 81st Avenue,Oakland,CA,ES,"733",Public
572809.793355423,4177007.8391566,Esperanza Elementary,10315 E. Street,Oakland,CA,ES,"704",Public
566150.826294079,4183215.32765874,Franklin Elementary,915 Foothill Boulevard,Oakland,CA,ES,"814",Public
572809.793355423,4177007.8391566,Fred T. Korematsu Discovery Academy,10315 E. Street,Oakland,CA,ES,"641",Public
569201.874890632,4183494.87173778,Fruitvale Elementary,3200 Boston Avenue,Oakland,CA,ES,"739",Public
571176.739114102,4179643.93695162,Futures Elementary,6701 International Boulevard,Oakland,CA,ES,"701",Public
567297.625681193,4182416.34927595,Garfield Elementary,1640 22nd Avenue,Oakland,CA,ES,"693",Public
568767.079653137,4184546.9801629,Glenview Elementary,4215 La Cresta Avenue,Oakland,CA,ES,"835",Public
569274.555369588,4181632.45127484,Global Family,2035 40th Avenue,Oakland,CA,ES,"582",Public
577006.224687273,4178761.32497644,Grass Valley Elementary,4720 Dunkirk Avenue,Oakland,CA,ES,"824",Public
570923.460859204,4179985.02135313,Greenleaf Elementary,6328 East 17th Street,Oakland,CA,ES,"777",Public
567497.189682664,4188398.24428161,Hillcrest Elementary,30 Marguerite Drive,Oakland,CA,ES,"957",Public
563769.12108428,4186459.54621509,Hoover Elementary,890 Brockhurst Street,Oakland,CA,ES,"672",Public
570237.50467432,4180998.97393162,Horace Mann Elementary,5222 Ygnacio Avenue,Oakland,CA,ES,"761",Public
574739.886937578,4179758.30682827,Howard Elementary,8755 Fontaine Street,Oakland,CA,ES,"731",Public
569462.141997763,4181178.00227074,Huerta (Dolores) Learning Academy,1941 High Street,Oakland,CA,ES,"597",Public
567792.539834274,4181652.04962574,International Community,2825 International Blvd,Oakland,CA,ES,"746",Public
569274.555369588,4181632.45127484,Jefferson Elementary,2035 40th Ave.,Oakland,CA,ES,"607",Public
570244.845149116,4185984.43821701,Joaquin Miller Elementary,5525 Ascot Drive,Oakland,CA,ES,"886",Public
567570.419717265,4189788.89275342,Kaiser Elementary,25 South Hill Court,Oakland,CA,ES,"864",Public
565387.446042631,4183418.77910118,La Escuelita Elementary,1100 3rd Avenue,Oakland,CA,ES,"813",Public
563393.972047996,4185016.72662947,Lafayette Elementary,1700 Market Street,Oakland,CA,ES,"664",Public
